"Species" "Interactions" "Connectance" "robustez_low" "MAT" "MAP" "CV" "TS" "PDQ" "Latitude" "Longitude" "Região"
"M_PL_068" 40 83 0.297 0.842609975704296 148 1416 44 194 146 1.25 -77.43 "Tropical"
"M_PL_070" 16 41 0.641 0.900012133124648 158 703 91 1964 25 19.23 -98.97 "Tropical"
"M_PL_071" 52 89 0.253 0.771745611717592 267 2851 32 681 388 0.04 -72.27 "Tropical"
"M_PL_004" 114 167 0.136 0.584247089013732 44 1088 10 10217 244 46.553731 -66.071245 "High latitude"
"M_PL_005" 371 923 0.035 0.642372768584198 -29 810 28 7189 149 38.841784 -105.043821 "High latitude"
"M_PL_006" 78 146 0.141 0.691434633839997 103 618 15 4786 125 52.762395 1.575532 "High latitude"
"M_PL_007" 52 85 0.148 0.626580830807463 97 603 13 4860 126 52.413173 1.097873 "High latitude"
"M_PL_008" 49 106 0.254 0.705343831606144 102 493 88 4489 5 28.216667 -16.633333 "High latitude"
"M_PL_009" 142 242 0.085 0.602498188142819 -35 639 29 7323 109 68.35 18.5 "High latitude"
"M_PL_010" 107 456 0.194 0.765790879117297 -112 256 23 9285 40 74.5 -20.5 "High latitude"
"M_PL_012" 84 145 0.091 0.644232224308817 155 442 85 3120 6 28.127842 -17.248908 "High latitude"
"M_PL_014" 110 179 0.076 0.641595404854886 -180 110 44 13457 15 81.816667 -71.3 "High latitude"
"M_PL_015" 797 2933 0.034 0.688294091894981 174 434 62 6557 22 38.014466 23.635043 "High latitude"
"M_PL_016" 205 412 0.089 0.635738496045199 178 521 64 5009 14 37.016667 -6.55 "High latitude"
"M_PL_017" 104 299 0.151 0.70673099847992 99 800 16 4544 167 51.574994 -2.589902 "High latitude"
"M_PL_018" 144 383 0.094 0.67973998721125 73 662 21 6176 116 56.238737 9.973652 "High latitude"
"M_PL_020" 111 190 0.104 0.608593392470488 -180 110 44 13457 15 81.816667 -71.3 "High latitude"
"M_PL_021" 768 1193 0.019 0.559895656466828 108 1998 33 8367 336 35.333333 135.75 "High latitude"
"M_PL_024" 29 38 0.192 0.628690051135033 -177 95 76 14105 7 75 -114.966667 "High latitude"
"M_PL_025" 57 143 0.25 0.692281441739541 145 1163 11 7651 259 36.075391 -79.001843 "High latitude"
"M_PL_032" 40 65 0.281 0.588860363345682 108 955 25 9821 158 40.133333 -88.166667 "High latitude"
"M_PL_033" 47 141 0.319 0.773259912765788 60 883 14 10923 176 45.4 -75.5 "High latitude"
"M_PL_036" 22 30 0.25 0.664734945895816 147 1578 36 3152 206 39.466667 -31.227222 "High latitude"
"M_PL_037" 50 72 0.18 0.59596407863848 73 662 21 6176 116 56.248737 9.973652 "High latitude"
"M_PL_038" 50 79 0.235 0.626624315690147 73 662 21 6176 116 56.238737 9.993652 "High latitude"
"M_PL_039" 68 129 0.149 0.62249308209665 95 498 89 4704 5 28.268611 -16.605556 "High latitude"
"M_PL_043" 110 250 0.109 0.663676527230745 72 670 21 6171 117 56.238737 9.953652 "High latitude"
"M_PL_044" 719 1125 0.017 0.582483535601105 213 2951 31 4955 494 28.377248 129.493741 "High latitude"
"M_PL_045" 43 63 0.143 0.639344571473506 -66 262 34 8536 42 71 -52 "High latitude"
"M_PL_046" 60 278 0.395 0.815060866206742 76 615 21 6051 107 56.066667 10.233333 "High latitude"
"M_PL_047" 205 425 0.12 0.628443665047757 73 778 24 5903 136 56.066667 9.266667 "High latitude"
"M_PL_048" 266 671 0.095 0.654182416503113 75 796 24 5837 139 56.1 9.1 "High latitude"
"M_PL_049" 262 590 0.071 0.62793817875501 76 615 21 6051 107 56.066667 10.216667 "High latitude"
"M_PL_050" 49 86 0.176 0.649869192163782 95 498 89 4704 5 28.268611 -16.605556 "High latitude"
"M_PL_052" 54 92 0.157 0.614743560975218 -51 262 34 9978 40 66.966667 -50.55 "High latitude"
"M_PL_053" 393 589 0.02 0.597313586088695 143 1891 56 7630 181 33.4 131.5 "High latitude"
"M_PL_054" 431 773 0.022 0.589271095528104 153 1725 42 8188 224 35.033333 135.783333 "High latitude"
"M_PL_055" 259 431 0.035 0.601539551954704 147 2306 23 8028 444 35.65 136.083333 "High latitude"
"M_PL_056" 456 871 0.026 0.585596206995886 92 1708 48 8222 162 35.583333 138.383333 "High latitude"
"M_PL_057" 997 1920 0.019 0.574217077789428 114 1929 37 8333 295 35.166667 135.866667 "High latitude"
"M_PL_058" 113 319 0.123 0.695663072068292 149 612 30 5187 108 42.2973 3.235217 "High latitude"
"M_PL_062" 1500 15255 0.032 0.811824578925978 118 954 22 9553 164 39.278958 -89.8968771 "High latitude"
"M_PL_073" 72 157 0.125 0.633490004974791 127 1021 12 8522 218 38.9695547 -77.1763687 "High latitude"
